,,,,,,,,,,,
Comcast Corp (CMCSA US) - By Segment,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
3 Months Ending,,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020
Cable Communications (Xfinity),,,,,,,,,,,
  Revenue,,"13,710.0","14,023.0","14,395.0","14,280.0","14,450.0","14,584.0","14,768.0","14,918.0","14,428.0","15,000.0"
  Depreciation and Amortization,,"2,047.0","2,077.0","2,093.0","2,035.0","2,036.0","1,967.0","1,956.0","1,946.0","1,937.0","1,952.0"
  Capital Expenditures,,"-1,766.0","-1,945.0","-2,320.0","-1,363.0","-1,594.0","-1,814.0","-2,138.0","-1,269.0","-1,452.0","1,770.0"
  Revenue Growth %,,3.40,3.40,5.20,4.20,3.90,4.00,2.60,4.50,-0.20,2.90
  Cost of Revenue,,"1,948.0","8,589.0","8,814.0","8,552.0","8,596.0","8,783.0","8,885.0","8,842.0","8,252.0","8,589.0"
  Adjusted EBITDA,,"5,638.0","5,434.0","5,779.0","5,728.0","5,854.0","5,801.0","5,883.0","6,076.0","6,176.0","6,411.0"
  Revenue Including Intersegment Revenue,,"13,710.0","14,023.0","14,395.0","14,280.0","14,450.0","14,584.0","14,768.0","14,918.0","14,428.0",—
  Total Operating Expense,,"9,279.0","8,589.0","8,814.0","8,552.0","8,596.0","8,783.0","8,885.0","8,842.0","8,252.0",—
  Goodwill,,—,—,"12,784.0",—,—,—,"15,074.0",—,—,—
  Operating Income,,"3,591.0",—,—,—,—,—,—,—,—,—
