Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
CA_Los_Angeles_County,68068,61932,59892
CA_San_Francisco_County,149604,119880,109332
CA_Ventura_County,60788,53400,50976
CO_Larimer_County,55588,49776,47832
GA_Fulton_County,96252,72660,45276
ID_Bonneville_County,40248,36684,34896
KS_Johnson_County,64064,54108,34152
KS_Wyandotte_County,56368,51228,31956
LA_Lafayette_Parish,48204,44712,36084
NCWilson_County,49296,42636,35820
NY_Bronx_County,51844,53892,40356
NY_Kings_County,45864,46680,39912
NY_New_York_County,179140,117816,79860
NY_Queens_County,52884,53016,49968
NY_Richmond_County,47996,49860,47100
OH_Cuyahoga_County,63648,54396,40692
WA_King_County,102960,86112,48492
